# Renewables.ninja Solar PV (Point API) - 49.232, 11.462 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "49.2320082", "lon": "11.4619266", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,-3.220,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,-3.219,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,-3.144,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,-2.983,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,-2.747,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,-2.543,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,-2.471,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0.003,-2.301,0
2015-01-01 08:00,2015-01-01 09:00,0.027,0.008,0.034,-1.362,0
2015-01-01 09:00,2015-01-01 10:00,0.114,0.057,0.076,-0.557,0
2015-01-01 10:00,2015-01-01 11:00,0.048,0.001,0.064,0.050,0
2015-01-01 11:00,2015-01-01 12:00,0.075,0.002,0.092,0.629,0
2015-01-01 12:00,2015-01-01 13:00,0.057,0,0.075,0.797,0
2015-01-01 13:00,2015-01-01 14:00,0.033,0,0.049,0.811,0
2015-01-01 14:00,2015-01-01 15:00,0.006,0,0.016,0.464,0
2015-01-01 15:00,2015-01-01 16:00,0,0,0.002,-0.805,0
2015-01-01 16:00,2015-01-01 17:00,0,0,0,-1.017,0
2015-01-01 17:00,2015-01-01 18:00,0,0,0,-0.844,0
2015-01-01 18:00,2015-01-01 19:00,0,0,0,-1.136,0
2015-01-01 19:00,2015-01-01 20:00,0,0,0,-1.601,0
2015-01-01 20:00,2015-01-01 21:00,0,0,0,-2.020,0
2015-01-01 21:00,2015-01-01 22:00,0,0,0,-2.352,0
2015-01-01 22:00,2015-01-01 23:00,0,0,0,-2.665,0
2015-01-01 23:00,2015-01-02 00:00,0,0,0,-2.934,0
2015-01-02 00:00,2015-01-02 01:00,0,0,0,-3.191,0
2015-01-02 01:00,2015-01-02 02:00,0,0,0,-3.441,0
2015-01-02 02:00,2015-01-02 03:00,0,0,0,-3.687,0
2015-01-02 03:00,2015-01-02 04:00,0,0,0,-4.090,0
2015-01-02 04:00,2015-01-02 05:00,0,0,0,-4.688,0
2015-01-02 05:00,2015-01-02 06:00,0,0,0,-5.425,0
2015-01-02 06:00,2015-01-02 07:00,0,0,0,-5.976,0
2015-01-02 07:00,2015-01-02 08:00,0,0,0.001,-5.579,0
2015-01-02 08:00,2015-01-02 09:00,0.033,0.015,0.033,-4.144,0
2015-01-02 09:00,2015-01-02 10:00,0.039,0.004,0.051,-2.368,0
2015-01-02 10:00,2015-01-02 11:00,0.052,0.001,0.068,-0.402,0
2015-01-02 11:00,2015-01-02 12:00,0.041,0,0.057,0.458,0
2015-01-02 12:00,2015-01-02 13:00,0.082,0.009,0.092,0.583,0
2015-01-02 13:00,2015-01-02 14:00,0.026,0.001,0.041,0.537,0
2015-01-02 14:00,2015-01-02 15:00,0.015,0.001,0.028,0.452,0
2015-01-02 15:00,2015-01-02 16:00,0,0,0.005,0.464,0
2015-01-02 16:00,2015-01-02 17:00,0,0,0,0.585,0
2015-01-02 17:00,2015-01-02 18:00,0,0,0,0.669,0
2015-01-02 18:00,2015-01-02 19:00,0,0,0,0.667,0
2015-01-02 19:00,2015-01-02 20:00,0,0,0,0.677,0
2015-01-02 20:00,2015-01-02 21:00,0,0,0,0.723,0
2015-01-02 21:00,2015-01-02 22:00,0,0,0,0.665,0
2015-01-02 22:00,2015-01-02 23:00,0,0,0,0.639,0
2015-01-02 23:00,2015-01-03 00:00,0,0,0,0.536,0
2015-01-03 00:00,2015-01-03 01:00,0,0,0,0.345,0
2015-01-03 01:00,2015-01-03 02:00,0,0,0,0.221,0
2015-01-03 02:00,2015-01-03 03:00,0,0,0,-0.081,0
2015-01-03 03:00,2015-01-03 04:00,0,0,0,-0.517,0
2015-01-03 04:00,2015-01-03 05:00,0,0,0,-0.887,0
2015-01-03 05:00,2015-01-03 06:00,0,0,0,-1.101,0
2015-01-03 06:00,2015-01-03 07:00,0,0,0,-1.252,0
2015-01-03 07:00,2015-01-03 08:00,0.001,0.004,0.005,-1.579,0
2015-01-03 08:00,2015-01-03 09:00,0.033,0.014,0.036,-1.188,0
2015-01-03 09:00,2015-01-03 10:00,0.041,0,0.057,-0.498,0
2015-01-03 10:00,2015-01-03 11:00,0.040,0,0.056,-0.144,0
2015-01-03 11:00,2015-01-03 12:00,0.042,0,0.058,0.211,0
2015-01-03 12:00,2015-01-03 13:00,0.037,0,0.053,0.354,0
2015-01-03 13:00,2015-01-03 14:00,0.028,0,0.043,0.258,0
2015-01-03 14:00,2015-01-03 15:00,0.019,0.001,0.033,-0.060,0
2015-01-03 15:00,2015-01-03 16:00,0,0,0.005,-0.576,0
2015-01-03 16:00,2015-01-03 17:00,0,0,0,-0.816,0
2015-01-03 17:00,2015-01-03 18:00,0,0,0,-0.787,0
2015-01-03 18:00,2015-01-03 19:00,0,0,0,-0.576,0
2015-01-03 19:00,2015-01-03 20:00,0,0,0,-0.387,0
2015-01-03 20:00,2015-01-03 21:00,0,0,0,-0.510,0
2015-01-03 21:00,2015-01-03 22:00,0,0,0,-0.846,0
2015-01-03 22:00,2015-01-03 23:00,0,0,0,-0.563,0
2015-01-03 23:00,2015-01-04 00:00,0,0,0,-0.902,0
2015-01-04 00:00,2015-01-04 01:00,0,0,0,-1.878,0
2015-01-04 01:00,2015-01-04 02:00,0,0,0,-2.499,0
2015-01-04 02:00,2015-01-04 03:00,0,0,0,-2.503,0
2015-01-04 03:00,2015-01-04 04:00,0,0,0,-2.279,0
2015-01-04 04:00,2015-01-04 05:00,0,0,0,-1.961,0
2015-01-04 05:00,2015-01-04 06:00,0,0,0,-1.911,0
2015-01-04 06:00,2015-01-04 07:00,0,0,0,-1.909,0
2015-01-04 07:00,2015-01-04 08:00,0,0,0.002,-1.924,0
2015-01-04 08:00,2015-01-04 09:00,0.022,0.003,0.033,-1.647,0
2015-01-04 09:00,2015-01-04 10:00,0.040,0.002,0.055,-1.172,0
2015-01-04 10:00,2015-01-04 11:00,0.032,0,0.048,-0.645,0
2015-01-04 11:00,2015-01-04 12:00,0.037,0,0.053,-0.210,0
2015-01-04 12:00,2015-01-04 13:00,0.032,0,0.048,0.065,0
2015-01-04 13:00,2015-01-04 14:00,0.047,0.004,0.060,0.174,0
2015-01-04 14:00,2015-01-04 15:00,0.021,0.001,0.035,0.036,0
2015-01-04 15:00,2015-01-04 16:00,0,0,0.004,-0.310,0
2015-01-04 16:00,2015-01-04 17:00,0,0,0,-0.493,0
2015-01-04 17:00,2015-01-04 18:00,0,0,0,-0.568,0
2015-01-04 18:00,2015-01-04 19:00,0,0,0,-0.642,0
2015-01-04 19:00,2015-01-04 20:00,0,0,0,-0.694,0
2015-01-04 20:00,2015-01-04 21:00,0,0,0,-1.050,0
2015-01-04 21:00,2015-01-04 22:00,0,0,0,-1.248,0
2015-01-04 22:00,2015-01-04 23:00,0,0,0,-1.252,0
2015-01-04 23:00,2015-01-05 00:00,0,0,0,-1.330,0
2015-01-05 00:00,2015-01-05 01:00,0,0,0,-1.542,0
2015-01-05 01:00,2015-01-05 02:00,0,0,0,-1.910,0
2015-01-05 02:00,2015-01-05 03:00,0,0,0,-2.230,0
2015-01-05 03:00,2015-01-05 04:00,0,0,0,-2.583,0
2015-01-05 04:00,2015-01-05 05:00,0,0,0,-2.811,0
2015-01-05 05:00,2015-01-05 06:00,0,0,0,-2.913,0
2015-01-05 06:00,2015-01-05 07:00,0,0,0,-3.233,0
2015-01-05 07:00,2015-01-05 08:00,0.002,0.004,0.005,-3.704,0
2015-01-05 08:00,2015-01-05 09:00,0.071,0.042,0.046,-3.324,0
2015-01-05 09:00,2015-01-05 10:00,0.326,0.267,0.080,-2.557,0
2015-01-05 10:00,2015-01-05 11:00,0.373,0.284,0.114,-1.671,0
2015-01-05 11:00,2015-01-05 12:00,0.345,0.227,0.142,-0.862,0
2015-01-05 12:00,2015-01-05 13:00,0.206,0.092,0.135,-0.355,0
2015-01-05 13:00,2015-01-05 14:00,0.275,0.189,0.108,-0.340,0
2015-01-05 14:00,2015-01-05 15:00,0.098,0.050,0.066,-1.704,0
2015-01-05 15:00,2015-01-05 16:00,0.004,0.004,0.009,-4.785,0
2015-01-05 16:00,2015-01-05 17:00,0,0,0,-6.694,0
2015-01-05 17:00,2015-01-05 18:00,0,0,0,-7.409,0
2015-01-05 18:00,2015-01-05 19:00,0,0,0,-7.731,0
2015-01-05 19:00,2015-01-05 20:00,0,0,0,-7.930,0
2015-01-05 20:00,2015-01-05 21:00,0,0,0,-7.930,0
2015-01-05 21:00,2015-01-05 22:00,0,0,0,-7.950,0
2015-01-05 22:00,2015-01-05 23:00,0,0,0,-8.092,0
2015-01-05 23:00,2015-01-06 00:00,0,0,0,-8.173,0
2015-01-06 00:00,2015-01-06 01:00,0,0,0,-8.147,0
2015-01-06 01:00,2015-01-06 02:00,0,0,0,-7.856,0
2015-01-06 02:00,2015-01-06 03:00,0,0,0,-7.595,0
