# Renewables.ninja Solar PV (Point API) - 49.232, 11.462 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "49.2320082", "lon": "11.4619266", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-06 03:00,2015-01-06 04:00,0,0,0,-8.006,0
2015-01-06 04:00,2015-01-06 05:00,0,0,0,-9.008,0
2015-01-06 05:00,2015-01-06 06:00,0,0,0,-9.956,0
2015-01-06 06:00,2015-01-06 07:00,0,0,0,-10.333,0
2015-01-06 07:00,2015-01-06 08:00,0.002,0.006,0.004,-10.255,0
2015-01-06 08:00,2015-01-06 09:00,0.077,0.047,0.046,-8.699,0
2015-01-06 09:00,2015-01-06 10:00,0.136,0.058,0.094,-6.585,0
2015-01-06 10:00,2015-01-06 11:00,0.154,0.047,0.124,-4.640,0
2015-01-06 11:00,2015-01-06 12:00,0.146,0.032,0.132,-3.158,0
2015-01-06 12:00,2015-01-06 13:00,0.137,0.032,0.124,-2.116,0
2015-01-06 13:00,2015-01-06 14:00,0.093,0.017,0.094,-1.802,0
2015-01-06 14:00,2015-01-06 15:00,0.044,0.007,0.053,-3.504,0
2015-01-06 15:00,2015-01-06 16:00,0.001,0.001,0.007,-6.620,0
2015-01-06 16:00,2015-01-06 17:00,0,0,0,-7.596,0
2015-01-06 17:00,2015-01-06 18:00,0,0,0,-6.684,0
2015-01-06 18:00,2015-01-06 19:00,0,0,0,-5.778,0
2015-01-06 19:00,2015-01-06 20:00,0,0,0,-5.769,0
2015-01-06 20:00,2015-01-06 21:00,0,0,0,-6.115,0
2015-01-06 21:00,2015-01-06 22:00,0,0,0,-6.414,0
2015-01-06 22:00,2015-01-06 23:00,0,0,0,-6.715,0
2015-01-06 23:00,2015-01-07 00:00,0,0,0,-7.155,0
2015-01-07 00:00,2015-01-07 01:00,0,0,0,-7.435,0
2015-01-07 01:00,2015-01-07 02:00,0,0,0,-7.617,0
2015-01-07 02:00,2015-01-07 03:00,0,0,0,-7.635,0
2015-01-07 03:00,2015-01-07 04:00,0,0,0,-7.132,0
2015-01-07 04:00,2015-01-07 05:00,0,0,0,-5.660,0
2015-01-07 05:00,2015-01-07 06:00,0,0,0,-3.814,0
2015-01-07 06:00,2015-01-07 07:00,0,0,0,-2.339,0
2015-01-07 07:00,2015-01-07 08:00,0,0.001,0.004,-1.287,0
2015-01-07 08:00,2015-01-07 09:00,0.027,0.006,0.036,-0.383,0
2015-01-07 09:00,2015-01-07 10:00,0.034,0.001,0.049,0.146,0
2015-01-07 10:00,2015-01-07 11:00,0.032,0,0.048,0.338,0
2015-01-07 11:00,2015-01-07 12:00,0.036,0,0.052,0.376,0
2015-01-07 12:00,2015-01-07 13:00,0.016,0,0.029,0.391,0
2015-01-07 13:00,2015-01-07 14:00,0.016,0,0.029,0.359,0
2015-01-07 14:00,2015-01-07 15:00,0.011,0,0.023,0.010,0
2015-01-07 15:00,2015-01-07 16:00,0,0,0.002,-1.316,0
2015-01-07 16:00,2015-01-07 17:00,0,0,0,-2.244,0
2015-01-07 17:00,2015-01-07 18:00,0,0,0,-2.834,0
2015-01-07 18:00,2015-01-07 19:00,0,0,0,-3.352,0
2015-01-07 19:00,2015-01-07 20:00,0,0,0,-3.512,0
2015-01-07 20:00,2015-01-07 21:00,0,0,0,-3.603,0
2015-01-07 21:00,2015-01-07 22:00,0,0,0,-3.640,0
2015-01-07 22:00,2015-01-07 23:00,0,0,0,-3.762,0
2015-01-07 23:00,2015-01-08 00:00,0,0,0,-3.838,0
2015-01-08 00:00,2015-01-08 01:00,0,0,0,-3.570,0
2015-01-08 01:00,2015-01-08 02:00,0,0,0,-2.731,0
2015-01-08 02:00,2015-01-08 03:00,0,0,0,-1.317,0
2015-01-08 03:00,2015-01-08 04:00,0,0,0,-0.118,0
2015-01-08 04:00,2015-01-08 05:00,0,0,0,0.484,0
2015-01-08 05:00,2015-01-08 06:00,0,0,0,0.779,0
2015-01-08 06:00,2015-01-08 07:00,0,0,0,0.870,0
2015-01-08 07:00,2015-01-08 08:00,0,0,0.001,0.950,0
2015-01-08 08:00,2015-01-08 09:00,0.018,0.006,0.025,1.070,0
2015-01-08 09:00,2015-01-08 10:00,0.055,0.012,0.062,1.267,0
2015-01-08 10:00,2015-01-08 11:00,0.066,0.004,0.080,1.578,0
2015-01-08 11:00,2015-01-08 12:00,0.065,0.001,0.083,1.910,0
2015-01-08 12:00,2015-01-08 13:00,0.042,0,0.059,2.118,0
2015-01-08 13:00,2015-01-08 14:00,0.037,0,0.053,2.190,0
2015-01-08 14:00,2015-01-08 15:00,0.025,0.001,0.039,2.322,0
2015-01-08 15:00,2015-01-08 16:00,0.001,0,0.007,2.235,0
2015-01-08 16:00,2015-01-08 17:00,0,0,0,2.313,0
2015-01-08 17:00,2015-01-08 18:00,0,0,0,2.251,0
2015-01-08 18:00,2015-01-08 19:00,0,0,0,2.139,0
2015-01-08 19:00,2015-01-08 20:00,0,0,0,2.144,0
2015-01-08 20:00,2015-01-08 21:00,0,0,0,2.293,0
2015-01-08 21:00,2015-01-08 22:00,0,0,0,2.954,0
2015-01-08 22:00,2015-01-08 23:00,0,0,0,3.082,0
2015-01-08 23:00,2015-01-09 00:00,0,0,0,2.780,0
2015-01-09 00:00,2015-01-09 01:00,0,0,0,2.329,0
2015-01-09 01:00,2015-01-09 02:00,0,0,0,1.966,0
2015-01-09 02:00,2015-01-09 03:00,0,0,0,1.680,0
2015-01-09 03:00,2015-01-09 04:00,0,0,0,1.550,0
2015-01-09 04:00,2015-01-09 05:00,0,0,0,1.787,0
2015-01-09 05:00,2015-01-09 06:00,0,0,0,2.098,0
2015-01-09 06:00,2015-01-09 07:00,0,0,0,2.258,0
2015-01-09 07:00,2015-01-09 08:00,0,0,0.003,2.244,0
2015-01-09 08:00,2015-01-09 09:00,0.016,0.004,0.026,2.742,0
2015-01-09 09:00,2015-01-09 10:00,0.071,0.038,0.053,3.426,0
2015-01-09 10:00,2015-01-09 11:00,0.086,0.042,0.065,4.146,0
2015-01-09 11:00,2015-01-09 12:00,0.057,0,0.076,4.331,0
2015-01-09 12:00,2015-01-09 13:00,0.036,0,0.053,4.434,0
2015-01-09 13:00,2015-01-09 14:00,0.040,0,0.057,4.722,0
2015-01-09 14:00,2015-01-09 15:00,0.027,0.001,0.042,5.051,0
2015-01-09 15:00,2015-01-09 16:00,0.001,0,0.007,5.356,0
2015-01-09 16:00,2015-01-09 17:00,0,0,0,5.659,0
2015-01-09 17:00,2015-01-09 18:00,0,0,0,6.005,0
2015-01-09 18:00,2015-01-09 19:00,0,0,0,6.343,0
2015-01-09 19:00,2015-01-09 20:00,0,0,0,6.703,0
2015-01-09 20:00,2015-01-09 21:00,0,0,0,6.848,0
2015-01-09 21:00,2015-01-09 22:00,0,0,0,6.463,0
2015-01-09 22:00,2015-01-09 23:00,0,0,0,6.870,0
2015-01-09 23:00,2015-01-10 00:00,0,0,0,8.128,0
2015-01-10 00:00,2015-01-10 01:00,0,0,0,9.180,0
2015-01-10 01:00,2015-01-10 02:00,0,0,0,9.769,0
2015-01-10 02:00,2015-01-10 03:00,0,0,0,10.036,0
2015-01-10 03:00,2015-01-10 04:00,0,0,0,10.242,0
2015-01-10 04:00,2015-01-10 05:00,0,0,0,10.598,0
2015-01-10 05:00,2015-01-10 06:00,0,0,0,10.827,0
2015-01-10 06:00,2015-01-10 07:00,0,0,0,10.932,0
2015-01-10 07:00,2015-01-10 08:00,0,0,0.002,10.934,0
2015-01-10 08:00,2015-01-10 09:00,0.005,0,0.015,11.040,0
2015-01-10 09:00,2015-01-10 10:00,0.068,0.013,0.077,11.356,0
2015-01-10 10:00,2015-01-10 11:00,0.100,0.015,0.111,11.912,0
2015-01-10 11:00,2015-01-10 12:00,0.206,0.097,0.141,12.122,0
2015-01-10 12:00,2015-01-10 13:00,0.045,0.003,0.063,12.036,0
2015-01-10 13:00,2015-01-10 14:00,0.012,0,0.026,11.818,0
2015-01-10 14:00,2015-01-10 15:00,0.007,0,0.017,11.433,0
2015-01-10 15:00,2015-01-10 16:00,0,0,0.003,11.046,0
2015-01-10 16:00,2015-01-10 17:00,0,0,0,10.791,0
2015-01-10 17:00,2015-01-10 18:00,0,0,0,10.630,0
2015-01-10 18:00,2015-01-10 19:00,0,0,0,10.540,0
2015-01-10 19:00,2015-01-10 20:00,0,0,0,10.392,0
2015-01-10 20:00,2015-01-10 21:00,0,0,0,9.629,0
2015-01-10 21:00,2015-01-10 22:00,0,0,0,7.902,0
2015-01-10 22:00,2015-01-10 23:00,0,0,0,6.291,0
2015-01-10 23:00,2015-01-11 00:00,0,0,0,5.047,0
2015-01-11 00:00,2015-01-11 01:00,0,0,0,4.151,0
2015-01-11 01:00,2015-01-11 02:00,0,0,0,3.208,0
2015-01-11 02:00,2015-01-11 03:00,0,0,0,2.859,0
2015-01-11 03:00,2015-01-11 04:00,0,0,0,2.459,0
2015-01-11 04:00,2015-01-11 05:00,0,0,0,1.966,0
2015-01-11 05:00,2015-01-11 06:00,0,0,0,1.380,0
2015-01-11 06:00,2015-01-11 07:00,0,0,0,0.974,0
2015-01-11 07:00,2015-01-11 08:00,0,0,0.002,0.799,0
2015-01-11 08:00,2015-01-11 09:00,0.016,0.001,0.028,1.264,0
2015-01-11 09:00,2015-01-11 10:00,0.065,0.022,0.063,2.052,0
2015-01-11 10:00,2015-01-11 11:00,0.090,0.025,0.085,2.625,0
2015-01-11 11:00,2015-01-11 12:00,0.044,0.001,0.060,2.686,0
2015-01-11 12:00,2015-01-11 13:00,0.149,0.058,0.113,2.493,0
2015-01-11 13:00,2015-01-11 14:00,0.176,0.083,0.115,2.278,0
2015-01-11 14:00,2015-01-11 15:00,0.203,0.156,0.069,1.823,0
2015-01-11 15:00,2015-01-11 16:00,0.005,0.002,0.012,1.051,0
2015-01-11 16:00,2015-01-11 17:00,0,0,0,0.629,0
2015-01-11 17:00,2015-01-11 18:00,0,0,0,0.563,0
2015-01-11 18:00,2015-01-11 19:00,0,0,0,0.731,0
2015-01-11 19:00,2015-01-11 20:00,0,0,0,0.955,0
2015-01-11 20:00,2015-01-11 21:00,0,0,0,1.105,0
2015-01-11 21:00,2015-01-11 22:00,0,0,0,1.035,0
2015-01-11 22:00,2015-01-11 23:00,0,0,0,0.938,0
2015-01-11 23:00,2015-01-12 00:00,0,0,0,0.970,0
2015-01-12 00:00,2015-01-12 01:00,0,0,0,1.028,0
2015-01-12 01:00,2015-01-12 02:00,0,0,0,1.235,0
2015-01-12 02:00,2015-01-12 03:00,0,0,0,1.452,0
2015-01-12 03:00,2015-01-12 04:00,0,0,0,1.616,0
2015-01-12 04:00,2015-01-12 05:00,0,0,0,1.713,0
2015-01-12 05:00,2015-01-12 06:00,0,0,0,1.810,0
2015-01-12 06:00,2015-01-12 07:00,0,0,0,1.873,0
2015-01-12 07:00,2015-01-12 08:00,0,0,0.001,1.962,0
2015-01-12 08:00,2015-01-12 09:00,0.011,0,0.024,2.287,0
2015-01-12 09:00,2015-01-12 10:00,0.031,0,0.047,2.693,0
2015-01-12 10:00,2015-01-12 11:00,0.066,0.001,0.085,2.993,0
2015-01-12 11:00,2015-01-12 12:00,0.071,0.001,0.090,3.460,0
2015-01-12 12:00,2015-01-12 13:00,0.062,0.001,0.081,3.789,0
2015-01-12 13:00,2015-01-12 14:00,0.024,0,0.039,3.689,0
2015-01-12 14:00,2015-01-12 15:00,0.031,0.002,0.046,3.357,0
2015-01-12 15:00,2015-01-12 16:00,0.004,0.001,0.012,2.977,0
2015-01-12 16:00,2015-01-12 17:00,0,0,0,2.724,0
2015-01-12 17:00,2015-01-12 18:00,0,0,0,2.202,0
2015-01-12 18:00,2015-01-12 19:00,0,0,0,1.716,0
2015-01-12 19:00,2015-01-12 20:00,0,0,0,1.125,0
2015-01-12 20:00,2015-01-12 21:00,0,0,0,0.779,0
2015-01-12 21:00,2015-01-12 22:00,0,0,0,0.594,0
2015-01-12 22:00,2015-01-12 23:00,0,0,0,0.149,0
2015-01-12 23:00,2015-01-13 00:00,0,0,0,-0.326,0
2015-01-13 00:00,2015-01-13 01:00,0,0,0,-1.030,0
2015-01-13 01:00,2015-01-13 02:00,0,0,0,-1.592,0
2015-01-13 02:00,2015-01-13 03:00,0,0,0,-1.758,0
2015-01-13 03:00,2015-01-13 04:00,0,0,0,-1.303,0
2015-01-13 04:00,2015-01-13 05:00,0,0,0,-1.147,0
2015-01-13 05:00,2015-01-13 06:00,0,0,0,-1.026,0
2015-01-13 06:00,2015-01-13 07:00,0,0,0,-0.923,0
2015-01-13 07:00,2015-01-13 08:00,0.033,0.043,0.006,-0.135,0
2015-01-13 08:00,2015-01-13 09:00,0.313,0.321,0.019,2.080,0
2015-01-13 09:00,2015-01-13 10:00,0.521,0.536,0.038,4.159,0
2015-01-13 10:00,2015-01-13 11:00,0.619,0.637,0.062,6.402,0
2015-01-13 11:00,2015-01-13 12:00,0.660,0.683,0.074,8.385,0
2015-01-13 12:00,2015-01-13 13:00,0.637,0.654,0.078,9.606,0
2015-01-13 13:00,2015-01-13 14:00,0.537,0.529,0.078,9.405,0
2015-01-13 14:00,2015-01-13 15:00,0.391,0.373,0.062,7.397,0
2015-01-13 15:00,2015-01-13 16:00,0.094,0.091,0.024,5.121,0
2015-01-13 16:00,2015-01-13 17:00,0,0,0,4.902,0
2015-01-13 17:00,2015-01-13 18:00,0,0,0,4.629,0
2015-01-13 18:00,2015-01-13 19:00,0,0,0,4.207,0
2015-01-13 19:00,2015-01-13 20:00,0,0,0,3.832,0
2015-01-13 20:00,2015-01-13 21:00,0,0,0,3.649,0
2015-01-13 21:00,2015-01-13 22:00,0,0,0,3.593,0
2015-01-13 22:00,2015-01-13 23:00,0,0,0,3.893,0
2015-01-13 23:00,2015-01-14 00:00,0,0,0,4.193,0
2015-01-14 00:00,2015-01-14 01:00,0,0,0,4.307,0
2015-01-14 01:00,2015-01-14 02:00,0,0,0,4.287,0
2015-01-14 02:00,2015-01-14 03:00,0,0,0,4.435,0
2015-01-14 03:00,2015-01-14 04:00,0,0,0,4.613,0
2015-01-14 04:00,2015-01-14 05:00,0,0,0,4.317,0
2015-01-14 05:00,2015-01-14 06:00,0,0,0,4.319,0
2015-01-14 06:00,2015-01-14 07:00,0,0,0,4.317,0
2015-01-14 07:00,2015-01-14 08:00,0,0,0.002,4.562,0
2015-01-14 08:00,2015-01-14 09:00,0.024,0.004,0.035,5.540,0
2015-01-14 09:00,2015-01-14 10:00,0.035,0,0.052,6.135,0
2015-01-14 10:00,2015-01-14 11:00,0.071,0.001,0.091,5.984,0
2015-01-14 11:00,2015-01-14 12:00,0.088,0.002,0.108,5.830,0
2015-01-14 12:00,2015-01-14 13:00,0.073,0,0.093,6.078,0
2015-01-14 13:00,2015-01-14 14:00,0.128,0.064,0.087,6.001,0
2015-01-14 14:00,2015-01-14 15:00,0.230,0.176,0.081,5.211,0
2015-01-14 15:00,2015-01-14 16:00,0.064,0.059,0.025,4.485,0
2015-01-14 16:00,2015-01-14 17:00,0,0,0,4.309,0
2015-01-14 17:00,2015-01-14 18:00,0,0,0,3.784,0
2015-01-14 18:00,2015-01-14 19:00,0,0,0,3.139,0
2015-01-14 19:00,2015-01-14 20:00,0,0,0,2.452,0
2015-01-14 20:00,2015-01-14 21:00,0,0,0,1.301,0
2015-01-14 21:00,2015-01-14 22:00,0,0,0,-0.183,0
2015-01-14 22:00,2015-01-14 23:00,0,0,0,-1.058,0
2015-01-14 23:00,2015-01-15 00:00,0,0,0,-0.941,0
2015-01-15 00:00,2015-01-15 01:00,0,0,0,-0.495,0
2015-01-15 01:00,2015-01-15 02:00,0,0,0,-0.284,0
2015-01-15 02:00,2015-01-15 03:00,0,0,0,-0.194,0
2015-01-15 03:00,2015-01-15 04:00,0,0,0,-0.197,0
2015-01-15 04:00,2015-01-15 05:00,0,0,0,-0.169,0
2015-01-15 05:00,2015-01-15 06:00,0,0,0,-0.004,0
2015-01-15 06:00,2015-01-15 07:00,0,0,0,0.147,0
2015-01-15 07:00,2015-01-15 08:00,0.001,0.002,0.006,0.552,0
2015-01-15 08:00,2015-01-15 09:00,0.065,0.037,0.047,1.501,0
2015-01-15 09:00,2015-01-15 10:00,0.211,0.140,0.094,2.515,0
2015-01-15 10:00,2015-01-15 11:00,0.150,0.038,0.135,3.973,0
2015-01-15 11:00,2015-01-15 12:00,0.189,0.060,0.155,5.489,0
2015-01-15 12:00,2015-01-15 13:00,0.161,0.049,0.137,6.531,0
2015-01-15 13:00,2015-01-15 14:00,0.085,0.011,0.096,6.849,0
2015-01-15 14:00,2015-01-15 15:00,0.056,0.012,0.064,5.825,0
2015-01-15 15:00,2015-01-15 16:00,0.012,0.006,0.019,3.648,0
2015-01-15 16:00,2015-01-15 17:00,0,0,0,2.991,0
2015-01-15 17:00,2015-01-15 18:00,0,0,0,2.435,0
2015-01-15 18:00,2015-01-15 19:00,0,0,0,1.949,0
2015-01-15 19:00,2015-01-15 20:00,0,0,0,1.678,0
2015-01-15 20:00,2015-01-15 21:00,0,0,0,1.555,0
2015-01-15 21:00,2015-01-15 22:00,0,0,0,1.367,0
2015-01-15 22:00,2015-01-15 23:00,0,0,0,1.321,0
2015-01-15 23:00,2015-01-16 00:00,0,0,0,0.878,0
