kW
0
0
0
0
0
0
0
0
0.027
0.114
0.048
0.075
0.057
0.033
0.006
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.033
0.039
0.052
0.041
0.082
0.026
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.033
0.041
0.040
0.042
0.037
0.028
0.019
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.022
0.040
0.032
0.037
0.032
0.047
0.021
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.071
0.326
0.373
0.345
0.206
0.275
0.098
0.004
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.077
0.136
0.154
0.146
0.137
0.093
0.044
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.027
0.034
0.032
0.036
0.016
0.016
0.011
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.018
0.055
0.066
0.065
0.042
0.037
0.025
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.016
0.071
0.086
0.057
0.036
0.040
0.027
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.005
0.068
0.100
0.206
0.045
0.012
0.007
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.016
0.065
0.090
0.044
0.149
0.176
0.203
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.011
0.031
0.066
0.071
0.062
0.024
0.031
0.004
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.033
0.313
0.521
0.619
0.660
0.637
0.537
0.391
0.094
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.024
0.035
0.071
0.088
0.073
0.128
0.230
0.064
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.065
0.211
0.150
0.189
0.161
0.085
0.056
0.012
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.005
0.076
0.093
0.173
0.221
0.402
0.106
0.058
0.024
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.033
0.079
0.058
0.081
0.061
0.059
0.033
0.023
0.017
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.016
0.170
0.240
0.187
0.274
0.148
0.046
0.030
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.006
0.119
0.130
0.102
0.123
0.210
0.316
0.288
0.053
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.030
0.084
0.125
0.113
0.130
0.118
0.073
0.025
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.037
0.060
0.044
0.051
0.065
0.065
0.073
0.070
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.045
0.064
0.106
0.070
0.120
0.058
0.030
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.038
0.045
0.032
0.038
0.037
0.030
0.023
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.038
0.045
0.034
0.040
0.060
0.046
0.022
0.006
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.039
0.101
0.052
0.058
0.076
0.123
0.079
0.046
0.053
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.005
0.075
0.075
0.061
0.114
0.095
0.117
0.061
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.016
0.098
0.050
0.030
0.027
0.047
0.141
0.139
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.013
0.036
0.062
0.060
0.081
0.112
0.094
0.038
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.021
0.184
0.268
0.226
0.178
0.185
0.131
0.150
0.141
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.006
0.040
0.068
0.113
0.144
0.124
0.104
0.095
0.028
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.032
0.056
0.083
0.107
0.050
0.082
0.069
0.038
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.007
0.088
0.147
0.078
0.059
0.044
0.107
0.127
0.052
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.041
0.104
0.096
0.138
0.105
0.134
0.113
0.079
0.023
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.018
0.119
0.200
0.224
0.201
0.235
0.246
0.143
0.084
0
