;unit;PV_Halle 18;Wind_Karholz;Wind_Winnberg 03;Wind_Winnberg 04
unit;str;kWp;kW;kW;kW
optimizeCap;bool;False;False;False;False
maximumCap;None or float;None;None;None;None
installedCap;kWp;780;3000;3400;3200
age_installed;year;2;2;2;2
lifetime;year;25;30;30;30
development_costs;currency;0;0;0;0
specific_costs;currency/unit;800;1150;1150;1150
specific_costs_om;currency/unit/year;20;0;0;0
dispatch_price;currency/kWh;0;0;0;0
outflow_direction;str;DC bus 18;wind bus karholz;wind bus winnberg 03;wind bus winnberg 04
file_name;str;pv_Halle18.csv;wind_Karholz.csv;wind_Winnberg03.csv;wind_Winnberg04.csv
energyVector;str;Electricity;Electricity;Electricity;Electricity
renewableAsset;bool;True;True;True;True
emission_factor;kgCO2eq/unit;0;0;0;0
type_oemof;str;source;source;source;source
